round,FedAvg,FDP-FL,AVFL,AVFL-A
147,0.3586,0.41035,0.4774,0.4096
148,0.3521,0.40605,0.43325,0.4079
149,0.38225,0.37905,0.45715,0.3872
150,0.37735,0.4018,0.3928,0.43975
151,0.3666,0.36965,0.4178,0.4354
152,0.4044,0.34845,0.4838,0.41415
153,0.4112,0.37465,0.48235,0.41805
154,0.40115,0.38225,0.4938,0.43235
155,0.3929,0.4008,0.4623,0.43235
156,0.3603,0.4159,0.42095,0.41475
157,0.37175,0.3689,0.4367,0.41655
158,0.3801,0.36545,0.5035,0.37125
159,0.3523,0.403,0.45755,0.3992
160,0.4181,0.4163,0.4873,0.38455
161,0.4161,0.39855,0.4509,0.40795
162,0.39995,0.4274,0.4319,0.3979
163,0.40345,0.4153,0.4367,0.4141
164,0.3974,0.394,0.494,0.3818
165,0.3838,0.4339,0.44405,0.40365
166,0.3879,0.3923,0.39155,0.4026
167,0.3771,0.40575,0.41445,0.39965
168,0.38115,0.41365,0.42975,0.425
169,0.38115,0.4263,0.43825,0.38315
170,0.3723,0.4273,0.46535,0.3927
171,0.38605,0.37885,0.39835,0.4164
172,0.4463,0.4037,0.4463,0.4498
173,0.4245,0.4165,0.4835,0.4473
174,0.42415,0.3941,0.4721,0.4198
175,0.41015,0.41265,0.46995,0.4258
176,0.4099,0.42765,0.4705,0.4231
177,0.4115,0.40185,0.42145,0.41335
178,0.43215,0.4022,0.48865,0.4057
179,0.4441,0.4141,0.3345,0.43195
180,0.44285,0.417,0.3926,0.44175
181,0.44255,0.41015,0.333,0.4297
182,0.39785,0.3925,0.40175,0.411
183,0.408,0.4317,0.3202,0.4167
184,0.43005,0.43335,0.44425,0.41425
185,0.43465,0.4274,0.468,0.41595
186,0.4047,0.4274,0.514,0.4054
187,0.448,0.39675,0.4606,0.45535
188,0.43225,0.4132,0.44615,0.41915
189,0.41535,0.4224,0.33425,0.4226
190,0.437,0.4252,0.4058,0.4417
191,0.4262,0.4,0.43145,0.45855
192,0.4267,0.418,0.5115,0.42575
193,0.4108,0.4206,0.4373,0.42185
194,0.41865,0.42385,0.3606,0.44635
195,0.41585,0.39475,0.38895,0.43815
196,0.37445,0.39685,0.40915,0.4151
197,0.4199,0.426,0.4111,0.47815
198,0.3877,0.40365,0.4717,0.4535
199,0.4203,0.38775,0.47045,0.42955
200,0.41505,0.4085,0.43055,0.4519
