round,FedAvg+Macro schedule,FDL-FL+Macro schedule,AVFL+Macro schedule,FedAvg,FDL-FL,AVFL
185,0.707420213,0.708829787,0.746471631,0.661888298,0.65849734,0.674428191
186,0.712287234,0.706719858,0.736524823,0.660611702,0.656183511,0.65912234
187,0.714468085,0.709556738,0.737890071,0.66831117,0.665771277,0.661303191
188,0.714973404,0.71251773,0.740301418,0.674760638,0.66168883,0.669375
189,0.712925532,0.707251773,0.750106383,0.671768617,0.657433511,0.683457447
190,0.711861702,0.706826241,0.758421986,0.673085106,0.667632979,0.706276596
191,0.718696809,0.708280142,0.73929078,0.669507979,0.658630319,0.676715426
192,0.71337766,0.710939716,0.741950355,0.66268617,0.650132979,0.686968085
193,0.716515957,0.711152482,0.74287234,0.658843085,0.648204787,0.66849734
194,0.710478723,0.717730496,0.75143617,0.660784574,0.656196809,0.670731383
195,0.709867021,0.71212766,0.741666667,0.651861702,0.655651596,0.674720745
196,0.708510638,0.711152482,0.746684397,0.665026596,0.675319149,0.672965426
197,0.710239362,0.708794326,0.743989362,0.64849734,0.658710106,0.661582447
198,0.713031915,0.718191489,0.759078014,0.667446809,0.659946809,0.665039894
199,0.710771277,0.722287234,0.750460993,0.67081117,0.666702128,0.66537234
200,0.716037234,0.718670213,0.747695035,0.669800532,0.668457447,0.662406915
