round,FedAvg,FDP-FL,FEDDATE-CS,FedBuff,MR-VFL
119,0.73182,0.70874,0.745375,0.7336,0.7951
120,0.73524,0.70554,0.75295,0.6673,0.79745
121,0.73752,0.6989,0.758575,0.739,0.79535
122,0.73102,0.70446,0.7508,0.7321,0.78935
123,0.73354,0.69092,0.749175,0.7429,0.79825
124,0.73222,0.69972,0.759,0.7883,0.79715
125,0.7258,0.71068,0.77285,0.7554,0.7987
126,0.74916,0.69406,0.76515,0.7727,0.7971
127,0.74164,0.71732,0.750925,0.6685,0.79325
128,0.74744,0.72634,0.76025,0.7716,0.7976
129,0.75618,0.71536,0.7543,0.6652,0.7884
130,0.74886,0.70692,0.75205,0.7763,0.79715
131,0.74766,0.6786,0.76635,0.7743,0.7958
132,0.7481,0.71348,0.771475,0.7674,0.79865
133,0.73746,0.71892,0.760925,0.764,0.80105
134,0.74854,0.72396,0.763275,0.7451,0.80135
135,0.72752,0.70186,0.76295,0.7661,0.8021
136,0.7079,0.70964,0.7595,0.7186,0.7987
137,0.72854,0.71246,0.757025,0.7609,0.7962
138,0.72512,0.7145,0.764525,0.7695,0.80255
139,0.73266,0.69568,0.76355,0.7788,0.7973
140,0.73416,0.69824,0.7606,0.7824,0.7984
141,0.7341,0.7144,0.762975,0.6613,0.80175
142,0.7081,0.7224,0.767075,0.7652,0.79795
143,0.73412,0.70748,0.75765,0.6686,0.8011
144,0.74114,0.7109,0.749425,0.7235,0.7971
145,0.74812,0.72398,0.7625,0.7508,0.8017
146,0.72794,0.73464,0.755875,0.7312,0.79855
147,0.74216,0.71822,0.753875,0.75,0.8001
148,0.7528,0.73014,0.761075,0.7624,0.79985
149,0.7424,0.7159,0.759075,0.7912,0.7976
150,0.74436,0.71686,0.750375,0.7757,0.80055
151,0.73708,0.7057,0.740525,0.7619,0.79835
152,0.73634,0.72682,0.758125,0.7704,0.7992
153,0.72704,0.7327,0.759325,0.7735,0.7968
154,0.72646,0.73546,0.76515,0.7795,0.80035
155,0.72472,0.74188,0.7587,0.7762,0.7918
156,0.7328,0.7291,0.76315,0.7618,0.80155
157,0.73138,0.7383,0.76615,0.7158,0.8012
158,0.73304,0.7392,0.77345,0.7533,0.79775
159,0.73072,0.75376,0.77555,0.7467,0.79825
160,0.74448,0.74138,0.7691,0.7302,0.7993
161,0.72326,0.75568,0.7605,0.748,0.7976
162,0.73032,0.7478,0.769625,0.7487,0.7988
